term,code
histiocytic necrotizing lymphadenitis,C15.604.315.300
rectocele,C06.405.469.860.810
hepatopulmonary syndrome,C06.552.455
shoulder pain,C05.550.091.700
neurogenic inflammation,C10.597.609
acquired hyperostosis syndrome,C05.116.099.708.025
zygomycosis,C01.150.703.980
"anticipation, genetic",C23.550.291.687.500.500
hyperhomocysteinemia,C16.320.565.100.480
gastroschisis,C05.660.417
"lysosomal storage diseases, nervous system",C10.228.140.163.100.435
hemostatic disorders,C14.907.454
"gangliosidoses, gm2",C10.228.140.163.100.435.825.300.300
basal ganglia cerebrovascular disease,C10.228.140.079.127
basal ganglia hemorrhage,C10.228.140.079.127.500
putaminal hemorrhage,C10.228.140.079.127.500.500
coagulation protein disorders,C15.378.100.141
manganese poisoning,C10.720.475.500
chorea gravidarum,C10.228.140.079.294
protein c deficiency,C15.378.100.100.690
antithrombin iii deficiency,C15.378.100.100.075
"amino acid transport disorders, inborn",C16.320.565.151
"hyperglycinemia, nonketotic",C10.228.140.163.100.375
citrullinemia,C10.228.140.163.100.937.374
hyperargininemia,C10.228.140.163.100.937.500
ornithine carbamoyltransferase deficiency disease,C10.228.140.163.100.937.750
carbamoyl-phosphate synthase i deficiency disease,C10.228.140.163.100.937.249
hyperlysinemias,C10.228.140.163.100.380
tyrosinemias,C10.228.140.163.100.875
idiopathic hypersomnia,C10.886.425.800.200.400
"sleep disorders, circadian rhythm",C10.281.800
jet lag syndrome,C10.281.440
"sleep apnea, obstructive",C08.618.085.852.850
"sleep apnea, central",C08.618.085.852.800
nocturnal paroxysmal dystonia,C10.886.659.627
night terrors,C10.886.659.635.600
sleep bruxism,C07.793.099.500
rem sleep behavior disorder,C10.886.659.633.700
sleep paralysis,C10.886.659.633.800
nocturnal myoclonus syndrome,C10.886.425.800.600
"myoclonic epilepsy, juvenile",C10.228.140.490.375.130.670
"myoclonic epilepsies, progressive",C10.228.140.490.375.130.650
lafora disease,C10.228.140.490.375.130.650.500
unverricht-lundborg syndrome,C10.228.140.490.375.130.650.900
"epilepsy, reflex",C10.228.140.490.450
"trauma, nervous system",C10.900
"head injuries, penetrating",C10.900.300.675
"intracranial hemorrhage, traumatic",C10.228.140.300.535.450
"hematoma, subdural, acute",C10.228.140.300.535.450.400.050
"hematoma, subdural, chronic",C10.228.140.300.535.450.400.120
"brain hemorrhage, traumatic",C10.228.140.199.275
"cerebral hemorrhage, traumatic",C10.228.140.199.275.300
"brain stem hemorrhage, traumatic",C10.228.140.199.275.200
"skull fracture, depressed",C10.900.300.918.300
"skull fracture, basilar",C10.900.300.918.150
"subarachnoid hemorrhage, traumatic",C10.228.140.300.535.450.650
"coma, post-head injury",C10.597.606.358.800.200.200
"brain injury, chronic",C10.228.140.140.127
cranial nerve injuries,C10.292.200
central cord syndrome,C10.228.854.763.500
autonomic dysreflexia,C10.177.090
carotid artery injuries,C10.228.140.300.200.345
cerebrovascular trauma,C10.228.140.300.350
"carotid artery, internal, dissection",C10.228.140.300.200.345.300
carotid-cavernous sinus fistula,C10.228.140.300.200.480
vertebral artery dissection,C10.228.140.300.350.875
facial nerve injuries,C07.465.299.500
optic nerve injuries,C10.292.200.750
abducens nerve injury,C10.292.150.100
sagittal sinus thrombosis,C10.228.140.300.525.425.500.750
cavernous sinus thrombosis,C10.228.140.300.525.425.500.375
lateral sinus thrombosis,C10.228.140.300.525.425.500.562
serotonin syndrome,C25.100.875
kluver-bucy syndrome,C10.228.140.380.326
"gait disorders, neurologic",C10.597.404
gait ataxia,C10.597.350.090.750
gait apraxia,C10.597.404.400
"amnesia, transient global",C10.228.140.060
"alexia, pure",C10.597.606.150.500.300.200.100
prosopagnosia,C10.597.606.762.100.650
"apraxia, ideomotor",C10.597.606.881.350.200
"encephalomyelitis, western equine",C01.207.245.340.450.800
"encephalomyelitis, eastern equine",C01.207.245.340.450.200
"infarction, anterior cerebral artery",C10.228.140.300.150.477.200.400
"infarction, middle cerebral artery",C10.228.140.300.150.477.200.450
venous thrombosis,C14.907.355.830.925
postoperative nausea and vomiting,C23.550.767.859
gastric antral vascular ectasia,C06.405.748.280
tooth ankylosis,C07.793.710
vitreous detachment,C11.980
choroidal neovascularization,C11.941.160.244
ventricular remodeling,C23.300.985
neurotoxicity syndromes,C10.720
"heavy metal poisoning, nervous system",C10.720.475
arsenic poisoning,C10.720.475.150
"mercury poisoning, nervous system",C10.720.475.600
"lead poisoning, nervous system",C10.720.475.400
"lead poisoning, nervous system, childhood",C10.720.475.400.700
"lead poisoning, nervous system, adult",C10.720.475.400.350
mptp poisoning,C10.228.140.079.862.800.300
"alcohol-induced disorders, nervous system",C10.720.112
alcoholic neuropathy,C10.668.829.800.050
alcohol withdrawal seizures,C10.597.742.143
"heredodegenerative disorders, nervous system",C10.574.500
autoimmune diseases of the nervous system,C10.114
guillain-barre syndrome,C10.114.750.100
"polyradiculoneuropathy, chronic inflammatory demyelinating",C10.114.750.175
"demyelinating autoimmune diseases, cns",C10.114.375
hereditary central nervous system demyelinating diseases,C10.228.140.163.100.362
"papilloma, choroid plexus",C04.588.614.250.195.205.200.500
"vasculitis, central nervous system",C10.114.875
"myasthenic syndromes, congenital",C10.668.758.800
brain stem neoplasms,C04.588.614.250.195.411.100
"intracranial hemorrhage, hypertensive",C10.228.140.300.535.325
intracranial hemorrhages,C10.228.140.300.535
"vasospasm, intracranial",C10.228.140.300.900
"tuberculosis, central nervous system",C01.150.252.223.850
central nervous system fungal infections,C01.150.703.181
latex hypersensitivity,C20.543.600
tics,C10.597.350.700
"amnesia, anterograde",C10.597.606.525.100.075
migraine with aura,C10.228.140.546.399.750.250
migraine without aura,C10.228.140.546.399.750.450
essential tremor,C10.228.662.350
bell palsy,C01.925.256.466.087
mobius syndrome,C07.465.299.825
tolosa-hunt syndrome,C10.292.562.900
paraparesis,C10.597.636.500
"paraparesis, spastic",C10.597.636.500.500
vestibular neuronitis,C09.218.807.800.837
optic nerve glioma,C04.557.465.625.600.380.795
hypertensive encephalopathy,C10.228.140.631.500
"enterocolitis, necrotizing",C06.405.205.596.700
lithiasis,C23.550.537
"paraneoplastic syndromes, nervous system",C04.588.614.550
paraneoplastic cerebellar degeneration,C04.588.614.550.650
limbic encephalitis,C01.207.245.700
paraneoplastic polyneuropathy,C04.588.614.550.700
"osteoarthritis, knee",C05.550.114.606.500
pelizaeus-merzbacher disease,C10.228.140.163.100.362.775
myokymia,C10.597.613.650
isaacs syndrome,C05.651.392
"muscular dystrophy, duchenne",C05.651.534.500.300
"muscular dystrophy, emery-dreifuss",C05.651.534.500.350
"muscular dystrophy, facioscapulohumeral",C05.651.534.500.400
"nystagmus, congenital",C10.292.562.675.300
vagus nerve diseases,C10.292.887
mononeuropathies,C10.668.829.500
median neuropathy,C10.668.829.500.500
ulnar neuropathies,C10.668.829.500.850
radial neuropathy,C10.668.829.500.650
sciatic neuropathy,C10.668.829.500.675
peroneal neuropathies,C10.668.829.500.600
femoral neuropathy,C10.668.829.500.200
tibial neuropathy,C10.668.829.500.700
cubital tunnel syndrome,C10.668.829.500.850.200
olfactory nerve diseases,C10.292.650
trochlear nerve diseases,C10.292.850
trigeminal nerve diseases,C07.465.299.625.500
abducens nerve diseases,C10.292.150
glossopharyngeal nerve diseases,C10.292.450
accessory nerve diseases,C10.292.175
hypoglossal nerve diseases,C10.292.525
parasomnias,C10.886.659
neuromuscular junction diseases,C10.668.758
"myopathy, central core",C05.651.575.300
"paralysis, hyperkalemic periodic",C05.651.701.600
hypokalemic periodic paralysis,C05.651.701.450
brachial plexus neuropathies,C10.668.829.100
focal nodular hyperplasia,C06.552.270
brain infarction,C10.228.140.300.150.477
stroke,C10.228.140.300.775
"lymphoma, mantle-cell",C04.557.386.480.525
brain stem infarctions,C10.228.140.300.150.477.100
"multiple sclerosis, chronic progressive",C10.114.375.500.200
"multiple sclerosis, relapsing-remitting",C10.114.375.500.600
fetal weight,C23.888.144.300
acatalasia,C16.320.565.663.050
"myasthenia gravis, autoimmune, experimental",C10.114.656.300
"nervous system autoimmune disease, experimental",C10.114.703
parkinsonian disorders,C10.228.140.079.862
"brain diseases, metabolic, inborn",C10.228.140.163.100
alcohol-induced disorders,C25.775.100.087
neurocutaneous syndromes,C10.562
spinocerebellar ataxias,C10.228.140.252.190.530
amaurosis fugax,C10.597.751.941.162.125
spinal cord vascular diseases,C10.228.854.785
anterior spinal artery syndrome,C10.228.854.785.650.100
spinal cord ischemia,C10.228.854.785.650
"infarction, posterior cerebral artery",C10.228.140.300.150.477.200.475
"pathological conditions, anatomical",C23.300
intracranial arterial diseases,C10.228.140.300.510
intracranial embolism,C10.228.140.300.525.400
intracranial thrombosis,C10.228.140.300.525.425
headache disorders,C10.228.140.546
pick disease of the brain,C10.228.140.380.266.299.500
sinus pericranii,C10.500.190.800
central nervous system vascular malformations,C10.500.190
"hemangioma, cavernous, central nervous system",C04.557.645.375.385.500
central nervous system venous angioma,C04.557.645.375.185
bardet-biedl syndrome,C10.228.140.617.200
"diabetes insipidus, neurogenic",C12.050.351.968.419.135.750
salivary calculi,C07.465.815.497
photophobia,C10.597.751.941.661
epidural abscess,C01.207.300
"encephalitis, herpes simplex",C01.207.245.340.350
"encephalitis, varicella zoster",C01.207.245.340.400
central nervous system viral diseases,C01.207.245
central nervous system bacterial infections,C01.150.252.223
central nervous system parasitic infections,C01.207.205
central nervous system protozoal infections,C01.207.205.300
central nervous system helminthiasis,C01.207.205.250
"meningitis, escherichia coli",C01.150.252.223.500.350
neuroschistosomiasis,C01.207.205.250.600
perimeningeal infections,C01.207.709
dyskinesias,C10.228.662.262
dystonic disorders,C10.228.662.300
pseudobulbar palsy,C10.597.622.714
diffuse axonal injury,C10.228.140.199.388.500
lyme neuroborreliosis,C01.150.252.223.437
hallux limitus,C05.330.488.300
hallux rigidus,C05.330.488.310
central nervous system cysts,C04.588.614.250.387
neuromuscular manifestations,C10.597.613
somatosensory disorders,C10.597.751.791
hypovolemia,C23.550.455
"myopathies, structural, congenital",C05.651.575
korsakoff syndrome,C10.597.606.525.400
complex regional pain syndromes,C10.177.195
"sleep disorders, intrinsic",C10.886.425.800
dyssomnias,C10.886.425
sleep arousal disorders,C10.886.659.635
sleep-wake transition disorders,C10.886.659.700
rem sleep parasomnias,C10.886.659.633
urological manifestations,C23.888.942
"hypoxia-ischemia, brain",C10.228.140.300.150.716
"epilepsy, benign neonatal",C10.228.140.490.370
"epilepsy, partial, sensory",C10.228.140.490.360.275
"epilepsy, partial, motor",C10.228.140.490.360.272
"myasthenia gravis, neonatal",C10.114.656.650
"aids arteritis, central nervous system",C01.221.250.875.048
"lupus vasculitis, central nervous system",C01.207.245.550.500
neuroaspergillosis,C01.150.703.080.537
striatonigral degeneration,C10.177.575.550.875
lewy body disease,C10.228.140.079.862.400
embryo loss,C12.050.703.039.711
"muscular disorders, atrophic",C05.651.534
myotonic disorders,C05.651.662
brachial plexus neuritis,C10.668.829.100.500
disease attributes,C23.550.291
chronobiology disorders,C10.281
egg hypersensitivity,C20.543.480.370.150
wheat hypersensitivity,C20.543.480.370.850
peanut hypersensitivity,C20.543.480.370.572.750
nut hypersensitivity,C20.543.480.370.572.500
"carcinoma, pancreatic ductal",C04.557.470.200.025.232.750
flank pain,C23.888.592.612.386
multicystic dysplastic kidney,C12.050.351.875.558
"communicable diseases, emerging",C01.221.500
isosporiasis,C01.610.752.250.410
cyclosporiasis,C01.610.752.250.280
"aortic stenosis, supravalvular",C14.280.484.048.750.535
discrete subaortic stenosis,C14.280.484.048.750.070.210
hyperammonemia,C23.550.421
lacerations,C26.540
hermanski-pudlak syndrome,C11.270.040.545.400
chills,C23.888.208
chlamydophila infections,C01.150.252.400.210.250
coronary restenosis,C14.280.647.250.285.200
coronary stenosis,C14.280.647.250.285
"gonadal dysgenesis, 46,xx",C12.050.351.875.253.064.249
"sarcoma, myeloid",C04.557.337.539.775
uniparental disomy,C23.550.210.645.890
open bite,C07.793.494.825
"cardiomyopathy, hypertrophic, familial",C14.280.238.100.500
tauopathies,C10.574.945
metabolic syndrome,C18.452.394.968.500.570
chromosome disorders,C16.131.260
sex chromosome disorders,C16.131.260.830
spondylarthritis,C05.116.900.853.625
spondylarthropathies,C05.116.900.853.625.800
"blood coagulation disorders, inherited",C15.378.100.100
septo-optic dysplasia,C10.500.034.937
hip injuries,C26.531
vitamin b 6 deficiency,C18.654.521.500.133.699.901
polyomavirus infections,C01.925.256.721
"amyloidosis, familial",C16.320.565.176
"amyloid neuropathies, familial",C10.574.500.050
"cerebral amyloid angiopathy, familial",C10.228.140.163.100.168
mitochondrial diseases,C18.452.660
biotinidase deficiency,C16.320.565.100.620.100
holocarboxylase synthetase deficiency,C16.320.565.100.620.380
peste-des-petits-ruminants,C01.925.782.580.600.500.600
"optic atrophy, autosomal dominant",C10.292.700.225.500.100
"optic atrophy, hereditary, leber",C10.292.700.225.500.400
"pulmonary disease, chronic obstructive",C08.381.495.389
sialic acid storage disease,C10.228.140.163.100.435.810
"bronchitis, chronic",C01.748.099.567
"anemia, hypoplastic, congenital",C15.378.071.085.080
"anemia, diamond-blackfan",C15.378.071.085.080.090
jervell-lange nielsen syndrome,C14.280.067.565.440
romano-ward syndrome,C14.280.067.565.720
"hemorrhagic syndrome, bovine",C01.925.782.350.675.400
denys-drash syndrome,C04.557.435.595.220
nidovirales infections,C01.925.782.600
"genetic diseases, inborn",C16.320
papillomavirus infections,C01.925.256.650
cytochrome-c oxidase deficiency,C16.320.565.240
acro-osteolysis,C05.116.099.052
knee dislocation,C05.550.518.500
patellar dislocation,C05.550.518.625
erdheim-chester disease,C15.604.250.410.224
poult enteritis mortality syndrome,C01.655
retinal vasculitis,C11.768.757
zoster sine herpete,C01.925.256.466.930.750.970
hajdu-cheney syndrome,C05.116.099.052.400
gestational trophoblastic disease,C04.557.465.955.416
"hemorrhagic septicemia, viral",C01.925.782.580.830.450
"choriocarcinoma, non-gestational",C04.557.465.955.207.438
hyperuricemia,C23.550.449
"insomnia, fatal familial",C01.207.800.392
"wasting disease, chronic",C01.207.800.858
hypoalbuminemia,C15.378.147.607.500
pelvic infection,C01.635
hyperamylasemia,C23.550.425
hearing loss,C09.218.458.341
"mastocytosis, cutaneous",C04.557.450.565.465.500
"mastocytosis, systemic",C04.557.450.565.465.750
mastocytoma,C04.557.450.565.465.249
rare diseases,C23.550.291.906
endometrial stromal tumors,C04.557.450.565.325
ciguatera poisoning,C25.723.415.246
"fasciitis, plantar",C05.321.600
heel spur,C05.116.540.310.600
metatarsalgia,C05.360.500
posterior tibial tendon dysfunction,C05.360.750
hammer toe syndrome,C05.330.615
"lower extremity deformities, congenital",C05.660.585.512
"upper extremity deformities, congenital",C05.660.585.988
post-concussion syndrome,C10.900.300.350.300.500
alexander disease,C10.228.140.163.100.362.312
shaken baby syndrome,C10.900.300.087.850
"mental retardation, x-linked",C10.597.606.360.455
coffin-lowry syndrome,C10.597.606.360.455.249
"muscular dystrophy, oculopharyngeal",C05.651.534.500.450
hiv-associated lipodystrophy syndrome,C01.221.250.875.550
bifidobacteriales infections,C01.150.252.410.110
"genetic diseases, x-linked",C16.320.322
retinoschisis,C11.768.585.865
cholecystolithiasis,C06.130.409.178
"jaundice, obstructive",C23.550.429.500.755
"cholecystitis, acute",C06.130.564.263.500
emphysematous cholecystitis,C06.130.564.263.500.500
acalculous cholecystitis,C06.130.564.263.249
genomic instability,C23.550.362
gallstones,C06.130.409.633
choledocholithiasis,C06.130.120.250.174
chromosomal instability,C23.550.210.110
irritable bowel syndrome,C06.405.469.158.272.608
"steroid metabolism, inborn errors",C16.320.565.925
"mineralocorticoid excess syndrome, apparent",C16.320.565.925.500
glomus tympanicum tumor,C04.557.465.625.650.700.705.360
"diverticulosis, colonic",C06.405.469.158.587
lymphatic abnormalities,C15.604.451
piscirickettsiaceae infections,C01.150.252.400.719
malnutrition,C18.654.521
overnutrition,C18.654.726
intestinal polyposis,C06.405.469.578
"enterocolitis, neutropenic",C06.405.205.596.750
leopard syndrome,C05.660.207.525
"carcinoma, ductal",C04.557.470.200.025.232
glucose metabolism disorders,C18.452.394
congenital hyperinsulinism,C06.689.150
mannosidase deficiency diseases,C16.320.565.202.607
beta-mannosidosis,C16.320.565.202.607.750
severe acute respiratory syndrome,C01.748.730
reticulocytosis,C23.888.760
avulavirus infections,C01.925.782.580.600.080
henipavirus infections,C01.925.782.580.600.400
steatorrhea,C06.405.469.637.887
"diverticulosis, esophageal",C06.405.117.136
"diverticulosis, stomach",C06.405.205.282.500.625
"pneumonia of swine, mycoplasmal",C01.150.252.620.330
"scleroderma, diffuse",C17.300.799.602
"scleroderma, limited",C17.300.799.801
intestinal volvulus,C06.405.469.531.568
ileus,C06.405.469.531.492
desulfovibrionaceae infections,C01.150.252.400.260
fusobacteriaceae infections,C01.150.252.400.388
flavobacteriaceae infections,C01.150.252.400.349
cytophagaceae infections,C01.150.252.400.245
moraxellaceae infections,C01.150.252.400.560
ganglion cysts,C04.182.347
monkeypox,C01.925.256.743.615
"hearing loss, unilateral",C09.218.458.341.950
"hearing loss, mixed conductive-sensorineural",C09.218.458.341.849
"hypertension, pregnancy-induced",C12.050.703.395
laron syndrome,C05.116.099.343.679
lingual thyroid,C16.131.894.500
gastrointestinal stromal tumors,C04.557.450.565.370
"pyloric stenosis, hypertrophic",C06.405.748.340.690.500
"liver abscess, pyogenic",C01.830.025.020.455.730
"coproporphyria, hereditary",C06.552.830.074
"porphyria, variegate",C06.552.830.625
"protoporphyria, erythropoietic",C06.552.830.812
"hernia, abdominal",C23.300.707.374
pubic symphysis diastasis,C05.550.518.192.500
cadasil,C10.228.140.300.150.477.200.100
synkinesis,C10.597.350.675
sphincter of oddi dysfunction,C06.130.120.250.098.800
"hematoma, subdural, intracranial",C10.228.140.300.535.450.400.400
"hematoma, subdural, spinal",C23.550.414.838.700.700
"colitis, microscopic",C06.405.205.265.173
"colitis, collagenous",C06.405.205.265.173.500
"colitis, lymphocytic",C06.405.205.265.173.750
"hematoma, epidural, spinal",C23.550.414.838.355
nesidioblastosis,C06.689.150.500
patellofemoral pain syndrome,C05.550.700
chondromalacia patellae,C05.182.100
lingual goiter,C16.131.894.500.500
preconception injuries,C21.676
massive hepatic necrosis,C06.552.100.600
breast cyst,C04.182.156
myofibroma,C04.557.450.565.540
"myopia, degenerative",C11.744.636.500
pituitary acth hypersecretion,C10.228.140.617.738.250.725
adrenogenital syndrome,C12.050.351.875.253.090
pulmonary sclerosing hemangioma,C04.588.894.797.520.933
premature birth,C12.050.703.420.491.500
fetal nutrition disorders,C12.050.703.277.677
"pneumonia of calves, enzootic",C01.150.252.620.300
bovine respiratory disease complex,C01.748.085
hepatic insufficiency,C06.552.308
diabetes complications,C19.246.099
labor pain,C23.888.592.612.451
morning sickness,C12.050.703.407
"plagiocephaly, nonsynostotic",C05.660.207.707.624
prenatal injuries,C12.050.703.824
decapitation,C26.986.224
"muscular dystrophies, limb-girdle",C05.651.534.500.280
"tay-sachs disease, ab variant",C10.228.140.163.100.435.825.300.300.750
seroma,C23.550.470.640
leukoaraiosis,C23.550.522
acanthoma,C04.557.470.700.040
distal myopathies,C05.651.534.500.074
mongolian spot,C04.557.665.560.615.530
growth hormone-secreting pituitary adenoma,C04.557.470.035.415
acth-secreting pituitary adenoma,C04.557.470.035.012
dna repair-deficiency disorders,C18.452.284
nijmegen breakage syndrome,C18.452.284.600
"hyperparathyroidism, primary",C19.642.355.239
graves ophthalmopathy,C11.270.240
"hyperthyroxinemia, familial dysalbuminemic",C16.320.427
andersen syndrome,C14.280.067.565.070
hashimoto disease,C19.874.871.102.500
postpartum thyroiditis,C12.050.703.844.714
thyroid dysgenesis,C16.131.894
sexual infantilism,C12.050.351.875.253.309.631
white heifer disease,C22.196.963
ovotesticular disorders of sex development,C12.050.351.875.253.343
dyslipidemias,C18.452.584.500
"genetic diseases, y-linked",C16.320.338
overweight,C18.654.726.750
atherosclerosis,C14.907.137.126.307
mulibrey nanism,C05.116.099.343.796
arteriolosclerosis,C14.907.137.126.056
monckeberg medial calcific sclerosis,C18.452.174.130.780.500
adamantinoma,C04.588.149.030
hallux varus,C05.330.612
"bunion, tailor's",C05.330.488.050.500
stillbirth,C12.050.703.223.650
"pancreatitis, chronic",C06.689.750.830
"fractures, bone",C26.404
"fractures, cartilage",C26.411
mesomycetozoea infections,C01.610.600
sunct syndrome,C10.228.140.546.399.937.875
wandering spleen,C15.604.744.954
"fractures, compression",C26.404.195
"granulomatosis, orofacial",C07.465.353
"headache disorders, primary",C10.228.140.546.399
"headache disorders, secondary",C10.228.140.546.699
post-traumatic headache,C10.228.140.546.699.249
post-dural puncture headache,C10.228.140.546.699.124
paroxysmal hemicrania,C10.228.140.546.399.937.750
trigeminal autonomic cephalalgias,C10.228.140.546.399.937
mobility limitation,C23.888.550
"lymphohistiocytosis, hemophagocytic",C15.604.250.410.575
"renal insufficiency, chronic",C12.050.351.968.419.780.750
renal insufficiency,C12.050.351.968.419.780
"neuralgia, postherpetic",C10.668.829.600.550
hemospermia,C12.100.500.293
"odontogenic tumor, squamous",C04.557.695.607
"hyperbilirubinemia, neonatal",C16.614.451
histiocytoma,C04.557.450.565.590.425
"histiocytoma, malignant fibrous",C04.557.450.565.590.425.360
delayed graft function,C23.550.277
mucositis,C06.405.205.798
vaginismus,C12.050.351.500.894.870
glycogen storage disease type iib,C10.597.606.360.455.562
frasier syndrome,C12.050.351.875.253.096.624
"kidney diseases, cystic",C12.050.351.968.419.403
cephalopelvic disproportion,C12.050.703.420.235
hydrocolpos,C12.050.351.500.894.500
usher syndromes,C09.218.458.341.186.500.500
tendinopathy,C05.651.869
lipid metabolism disorders,C18.452.584
hypoalphalipoproteinemias,C16.320.565.398.500.330
"hypobetalipoproteinemia, familial, apolipoprotein b",C18.452.584.500.875.440.750
"lipodystrophy, familial partial",C16.320.488.813
"lipodystrophy, congenital generalized",C16.320.565.398.745
sulfatidosis,C10.228.140.163.100.435.825.850
multiple sulfatase deficiency disease,C10.228.140.163.100.435.825.850.750
"niemann-pick disease, type a",C10.228.140.163.100.435.825.700.500
"niemann-pick disease, type b",C10.228.140.163.100.435.825.700.750
"niemann-pick disease, type c",C10.228.140.163.100.435.825.700.875
trigger finger disorder,C05.651.869.816.800
female urogenital diseases,C12.050.351
balanitis xerotica obliterans,C12.100.500.494.136.500
male urogenital diseases,C12.200
cystocele,C12.050.351.968.829.508
urolithiasis,C12.050.351.968.967
subacute combined degeneration,C10.228.854.811
pyomyositis,C01.830.767
"refsum disease, infantile",C10.228.140.163.100.844
tarlov cysts,C04.182.872
pyonephrosis,C12.050.351.968.419.307.500
ureterolithiasis,C12.050.351.968.725.938
nephrolithiasis,C12.050.351.968.419.600
familial hypophosphatemic rickets,C05.116.198.816.875.500
azotemia,C12.050.351.968.419.936.231
respiratory aspiration,C08.618.749
nocturia,C23.888.942.343.550
dysuria,C23.888.942.343.274
"urinary bladder, overactive",C12.050.351.968.829.813
"urinary incontinence, urge",C12.050.351.968.934.814.750
nocturnal enuresis,C12.050.351.968.934.252.500
diurnal enuresis,C12.050.351.968.934.252.249
hyper-igm immunodeficiency syndrome,C15.378.147.333.249
"hyper-igm immunodeficiency syndrome, type 1",C15.378.147.333.249.500
"ectodermal dysplasia 1, anhidrotic",C16.131.077.350.198
"ectodermal dysplasia 3, anhidrotic",C16.131.077.350.298
"ectodermal dysplasia, hypohidrotic, autosomal recessive",C16.131.077.350.348
hand-arm vibration syndrome,C10.668.829.380
channelopathies,C23.550.177
prostatism,C23.888.942.343.600
mink viral enteritis,C01.925.256.700.550
"leukokeratosis, hereditary mucosal",C16.320.850.542
"keratoderma, palmoplantar, epidermolytic",C16.320.850.475.440.500
pachyonychia congenita,C16.131.077.350.856
"corneal dystrophy, juvenile epithelial of meesmann",C11.204.236.218
ichthyosis bullosa of siemens,C16.131.831.512.408
hypercalciuria,C23.888.942.337
porcine postweaning multisystemic wasting syndrome,C01.925.256.200.500
opsoclonus-myoclonus syndrome,C04.588.614.550.600
gitelman syndrome,C12.050.351.968.419.815.491
urinoma,C23.888.942.900
nuchal cord,C12.050.703.413
"pain, referred",C23.888.592.612.888
stupor,C10.597.606.358.800.500
lethargy,C10.597.606.441
asthenozoospermia,C12.100.500.430.253
x-linked combined immunodeficiency diseases,C16.320.322.968
pyelocystitis,C12.050.351.968.419.570.821.358
tendon entrapment,C05.651.869.816
de quervain disease,C05.651.869.816.200
typhlitis,C01.463.850
azoospermia,C12.100.500.430.380
aspermia,C12.100.500.430.126
"pneumonia, ventilator-associated",C01.248.250.500
scleromyxedema,C17.300.550.875
cardiovascular infections,C01.190
"dna degradation, necrotic",C23.550.717.273
brugada syndrome,C14.280.067.322
microsatellite instability,C23.550.362.590
"nevus, sebaceous of jadassohn",C04.557.665.560.700
immune reconstitution inflammatory syndrome,C20.608
posterior leukoencephalopathy syndrome,C10.228.140.631.500.500
onycholysis,C17.800.529.478
acute coronary syndrome,C14.280.647.124
coronary occlusion,C14.280.647.250.272
pulmonary infarction,C08.381.746.500
ischemic contracture,C05.550.323.734
deaf-blind disorders,C09.218.458.341.186.500
"leukemia, large granular lymphocytic",C04.557.337.428.580.049
dihydropyrimidine dehydrogenase deficiency,C16.320.565.798.183
livedo reticularis,C14.907.617.625
multiple acyl coenzyme a dehydrogenase deficiency,C16.320.565.100.614
postthrombotic syndrome,C14.907.355.830.925.462
mevalonate kinase deficiency,C10.228.140.163.100.593
vascular malformations,C14.240.850
vein of galen malformations,C10.228.140.300.520.500
"malformations of cortical development, group ii",C10.500.507.450
lissencephaly,C10.500.507.450.499
ectopia cordis,C14.240.400.422
myocardial bridging,C14.240.400.210.500
periventricular nodular heterotopia,C10.500.507.450.750
"foramen ovale, patent",C14.240.400.560.375.258
"thrombocytopenia, neonatal alloimmune",C15.378.140.855.850
arachnodactyly,C05.660.585.174
"sinus arrest, cardiac",C14.280.067.093.500
"tachycardia, reciprocating",C14.280.067.845.787
ventricular flutter,C14.280.067.961
"heart failure, systolic",C14.280.434.676
"heart failure, diastolic",C14.280.434.611
systolic murmurs,C23.888.447.500
"angioedemas, hereditary",C14.907.079.500
precursor cell lymphoblastic leukemia-lymphoma,C04.557.337.428.600
precursor t-cell lymphoblastic leukemia-lymphoma,C04.557.337.428.600.620
"neoplasms, plasma cell",C04.557.595
malformations of cortical development,C10.500.507
classical lissencephalies and subcortical band heterotopias,C10.500.507.450.230
cobblestone lissencephaly,C10.500.507.450.499.249
vesicular stomatitis,C01.925.782.580.830.825
buruli ulcer,C01.150.252.410.040.552.475.247
no-reflow phenomenon,C23.550.513.677
marchiafava-bignami disease,C10.228.140.163.510
sertoli cell-only syndrome,C12.100.500.430.754
"solitary fibrous tumor, pleural",C04.557.450.565.590.797.750
solitary fibrous tumors,C04.557.450.565.590.797
"lymphoma, extranodal nk-t-cell",C04.557.386.480.750.199
"leukemia, prolymphocytic, b-cell",C04.557.337.428.080.562
"leukemia, myelomonocytic, juvenile",C04.557.337.539.525
myelodysplastic-myeloproliferative diseases,C15.378.190.615
"leukemia, myeloid, chronic, atypical, bcr-abl negative",C04.557.337.539.300
"lymphoma, primary cutaneous anaplastic large cell",C04.557.386.480.750.800.507
trichothiodystrophy syndromes,C16.131.077.899
chloracne,C17.800.030.575
acute radiation syndrome,C26.733.188
persistent hyperplastic primary vitreous,C11.250.616
vulvar vestibulitis,C12.050.351.500.944.902.368
orbital cellulitis,C11.675.387
atrioventricular block,C14.280.067.558.230
neuroacanthocytosis,C10.228.662.262.249.937
takotsubo cardiomyopathy,C14.280.945.900.500
venous thromboembolism,C14.907.355.590.700
hyperphosphatemia,C18.452.750.199
"lymphoma, primary effusion",C04.557.386.480.150.592
"mastocytoma, skin",C04.557.450.565.465.249.500
